Date,Campaign Name,Ad Set Name,Ad Name,Impressions,Clicks,Spend,Conversions,Revenue,Leads,Purchases,Platform
"2026-04-11","Retargeting Purchasers","Interest stack","Static Offer B","7020","232","290.00","32","1697.40","9","23","Meta Ads"
"2026-04-11","Snapchat Cold Traffic","Interest stack","Static Offer B","6545","79","229.10","0","0.00","0","0","Snapchat Ads"
"2026-04-11","Shopping Feed - Improving","Interest stack","Static Offer B","10820","267","303.83","10","554.40","3","7","Google Ads"
"2026-04-11","Summer Sale - Declining","Interest stack","Static Offer B","10345","215","430.00","10","466.20","3","7","Meta Ads"
"2026-04-12","Brand Search - Always On","Primary audience","UGC Test C","8906","490","367.50","56","3610.00","16","40","Google Ads"
"2026-04-12","Prospecting Broad - High Spend","Lookalike audience","UGC Test C","16387","147","543.90","0","0.00","0","0","Meta Ads"
"2026-04-12","TikTok Creator Hooks","Lookalike audience","UGC Test C","9405","42","92.40","1","55.10","0","1","TikTok Ads"
"2026-04-12","LinkedIn B2B Leads","Primary audience","UGC Test C","12397","236","2006.00","7","617.50","2","5","LinkedIn Ads"
"2026-04-12","Retargeting Purchasers","Lookalike audience","UGC Test C","7410","245","306.25","34","1869.60","10","24","Meta Ads"
"2026-04-12","Snapchat Cold Traffic","Lookalike audience","UGC Test C","6911","83","240.70","0","0.00","0","0","Snapchat Ads"
"2026-04-12","Shopping Feed - Improving","Lookalike audience","UGC Test C","11400","290","330.00","11","668.80","3","8","Google Ads"
"2026-04-12","Summer Sale - Declining","Lookalike audience","UGC Test C","10901","215","454.47","10","492.10","3","7","Meta Ads"
"2026-04-13","Brand Search - Always On","Primary audience","Video Hook A","7667","422","316.50","49","3325.00","14","35","Google Ads"
"2026-04-13","Prospecting Broad - High Spend","Interest stack","Video Hook A","14080","127","469.90","0","0.00","0","0","Meta Ads"
"2026-04-13","TikTok Creator Hooks","Interest stack","Video Hook A","8095","36","79.20","1","58.00","0","1","TikTok Ads"
"2026-04-13","LinkedIn B2B Leads","Primary audience","Video Hook A","10660","203","1725.50","6","520.00","2","4","LinkedIn Ads"
"2026-04-13","Retargeting Purchasers","Interest stack","Video Hook A","6385","211","263.75","30","1804.00","8","22","Meta Ads"
"2026-04-13","Snapchat Cold Traffic","Interest stack","Video Hook A","5957","71","205.90","0","0.00","0","0","Snapchat Ads"
"2026-04-13","Shopping Feed - Improving","Interest stack","Video Hook A","9805","257","292.45","10","616.00","3","7","Google Ads"
"2026-04-13","Summer Sale - Declining","Interest stack","Video Hook A","9377","174","390.00","8","444.00","2","6","Meta Ads"
"2026-04-14","Brand Search - Always On","Primary audience","Static Offer B","8128","447","335.25","51","3690.75","14","37","Google Ads"
"2026-04-14","Prospecting Broad - High Spend","Lookalike audience","Static Offer B","14897","134","495.80","0","0.00","0","0","Meta Ads"
"2026-04-14","TikTok Creator Hooks","Lookalike audience","Static Offer B","8579","39","85.80","1","60.90","0","1","TikTok Ads"
"2026-04-14","LinkedIn B2B Leads","Primary audience","Static Offer B","11287","214","1819.00","6","546.00","2","4","LinkedIn Ads"
"2026-04-14","Retargeting Purchasers","Lookalike audience","Static Offer B","6774","224","280.00","31","1894.20","9","22","Meta Ads"
"2026-04-14","Snapchat Cold Traffic","Lookalike audience","Static Offer B","6323","76","220.40","0","0.00","0","0","Snapchat Ads"
"2026-04-14","Shopping Feed - Improving","Lookalike audience","Static Offer B","10384","280","318.62","12","831.60","3","9","Google Ads"
"2026-04-14","Summer Sale - Declining","Lookalike audience","Static Offer B","9933","173","408.91","7","388.50","2","5","Meta Ads"
"2026-04-15","Brand Search - Always On","Primary audience","UGC Test C","8593","473","354.75","54","4075.50","15","39","Google Ads"
"2026-04-15","Prospecting Broad - High Spend","Interest stack","UGC Test C","15718","141","521.70","0","0.00","0","0","Meta Ads"
"2026-04-15","TikTok Creator Hooks","Interest stack","UGC Test C","9068","41","90.20","1","63.80","0","1","TikTok Ads"
"2026-04-15","LinkedIn B2B Leads","Primary audience","UGC Test C","11918","226","1921.00","6","572.00","2","4","LinkedIn Ads"
"2026-04-15","Retargeting Purchasers","Interest stack","UGC Test C","7168","237","296.25","33","2164.80","9","24","Meta Ads"
"2026-04-15","Snapchat Cold Traffic","Interest stack","UGC Test C","6693","80","232.00","0","0.00","0","0","Snapchat Ads"
"2026-04-15","Shopping Feed - Improving","Interest stack","UGC Test C","10968","304","345.93","13","871.20","4","9","Google Ads"
"2026-04-15","Summer Sale - Declining","Interest stack","UGC Test C","10493","171","404.18","7","407.00","2","5","Meta Ads"
